time;name;vodka;gin;rum;blue curacao;ananas juice;cherry juice;orange juice;bitter lemon;tonic water;herbal lemonade;bitter orange sirup;soda;recipe
01:00:19.387;Vodka Binary Breach;3;0;0;0;0;1,5;0;0;2,5;1;0;1;3.0 cl vodka, 1.5 cl cherry juice, 2.5 cl tonic water, 1.0 cl herbal lemonade, 1.0 cl soda
01:03:20.420;Rum Runtime Mix;0;0;3;0;1;0;2;0;0;2,5;0;1,5;3.0 cl rum, 1.0 cl ananas juice, 2.0 cl orange juice, 2.5 cl herbal lemonade, 1.5 cl soda
01:29:18.317;Gin Data Loop;0;2;0;0;1,5;0;2;0,5;0;0;1;2;2.0 cl gin, 1.5 cl ananas juice, 2.0 cl orange juice, 0.50 cl bitter lemon, 1.0 cl bitter orange sirup, 2.0 cl soda
16:37:06.470;non-alcoholic cocktail;0;0;0;0;0;4,444444444444445;0;0;2,2222222222222223;0;0;3,3333333333333335;4.4 cl cherry juice, 2.2 cl tonic water, 3.3 cl soda
16:38:43.442;GinBot 3000;2;0;0;0;1,5;3,5;1;2;0;1;1;0;2.0 cl vodka, 1.5 cl ananas juice, 3.5 cl cherry juice, 1.0 cl orange juice, 2.0 cl bitter lemon, 1.0 cl herbal lemonade, 1.0 cl bitter orange sirup
16:46:06.742;non-alcoholic cocktail;0;0;0;0;0;0;0;6,666666666666667;0;0;0;3,3333333333333335;6.7 cl bitter lemon, 3.3 cl soda
16:48:47.154;Rum Protocol 1.1;0;0;3;0;2;0;2,5;1;0;1,5;0;2;3.0 cl rum, 2.0 cl ananas juice, 2.5 cl orange juice, 1.0 cl bitter lemon, 1.5 cl herbal lemonade, 2.0 cl soda
16:49:43.405;Code Compiler Cocktail;0;3;0;0;0;2,5;1,5;1;3;0;0;1;3.0 cl gin, 2.5 cl cherry juice, 1.5 cl orange juice, 1.0 cl bitter lemon, 3.0 cl tonic water, 1.0 cl soda
16:50:34.712;Bluescreen Curacao;0;0;0;3;1,5;0;2;0,5;2;0;0;2;3.0 cl blue curacao, 1.5 cl ananas juice, 2.0 cl orange juice, 0.50 cl bitter lemon, 2.0 cl tonic water, 2.0 cl soda
16:52:02.406;Rum and Logic;0;0;2;0;0;0;1,5;3;0;1;2;0;2.0 cl rum, 1.5 cl orange juice, 3.0 cl bitter lemon, 1.0 cl herbal lemonade, 2.0 cl bitter orange sirup
16:52:52.583;Vodka Circuit Breaker;3;0;0;0;2;0;0;1;1,5;2;0,5;0;3.0 cl vodka, 2.0 cl ananas juice, 1.0 cl bitter lemon, 1.5 cl tonic water, 2.0 cl herbal lemonade, 0.50 cl bitter orange sirup
17:03:25.125;Blue Debug;0;0;0;2;1;1,5;0;0;3;0;2;0,5;2.0 cl blue curacao, 1.0 cl ananas juice, 1.5 cl cherry juice, 3.0 cl tonic water, 2.0 cl bitter orange sirup, 0.50 cl soda
17:08:00.986;non-alcoholic cocktail;0;0;0;0;4;4;4;0;0;2;0,5;4;4.0 cl ananas juice, 4.0 cl cherry juice, 4.0 cl orange juice, 2.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 4.0 cl soda
17:09:03.370;Vodka Byte;2;0;0;0;2,5;2;0;1;1,5;1;0;0;2.0 cl vodka, 2.5 cl ananas juice, 2.0 cl cherry juice, 1.0 cl bitter lemon, 1.5 cl tonic water, 1.0 cl herbal lemonade
17:09:54.946;Ginfinity Loop;0;2;0;0;1;0;1;2,5;0;0;1,5;1;2.0 cl gin, 1.0 cl ananas juice, 1.0 cl orange juice, 2.5 cl bitter lemon, 1.5 cl bitter orange sirup, 1.0 cl soda
